Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
1,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.56,1065
1,13.2,1.71,2.14,11.2,100,2.65,2.76,0.26,1.28,3.45,1.05,3.42,1050
3,13.16,1.78,2.67,18.6,101,2.8,3.49,0.3,2.81,5.67,1.06,2.31,1185
1,14.37,2.36,2.5,16.8,113,3.85,2.69,0.24,2.18,2.46,1.03,2.13,1480
1,13.24,1.95,2.87,21,118,2.8,3.39,0.39,1.82,2.97,1.65,3.65,735
1,14.2,2.59,2.45,15.2,112,3.27,2.52,0.34,1.97,3.12,1.18,3.19,1450
2,14.39,1.76,2.45,14.6,96,2.5,2.51,0.3,1.98,2.31,1.12,2.48,1450
1,14.06,1.87,2.61,17.6,121,2.6,2.98,0.31,1.25,3.21,1.01,2.46,1290
2,14.83,2.15,2.17,14,97,2.8,3.15,0.29,1.98,3.66,1.04,3.17,1390
1,13.86,1.64,2.27,16,98,2.98,3.32,0.22,1.85,5.67,1.06,3.18,1290
1,14.1,1.35,2.3,18,105,2.95,2.43,0.26,2.38,9.45,1.07,2.16,1045
3,14.12,2.16,2.32,16.8,95,2.2,2.76,0.29,1.57,4.57,1.09,2.19,1510
1,13.75,1.48,2.41,16,89,2.6,3.69,0.43,1.81,1.24,1.13,2.16,1280
2,14.75,1.73,2.39,11.4,91,3.1,3.64,0.29,2.81,5.98,1.15,3.17,1320
1,14.75,1.73,2.38,12,102,3.3,3.64,0.33,2.96,8.45,1.16,3.16,1150
3,14.38,1.87,,,,,,,,,,,
